word	length	syllables	senses	synonyms	hyponyms	hypernyms	subtitles	simple	subtlex
a	1	1	7	12	2	7	-26.4	-22.2	-24.4
aa	2	3	3	3	0	3	-16.1	-16.9	-17.9
aaliyah	7	3	0	0	0	0	-20	-19.6	-24.4
aaron	5	2	2	3	0	0	-15.9	-15.5	-14.8
abandon	7	3	7	9	9	5	-15.7	-17.2	-15.7
abandoned	9	3	7	9	9	3	-15.1	-14.9	-15
abbey	5	2	3	0	0	3	-17.9	-13.9	-17
abbott	6	2	0	0	0	0	-17.9	-16.9	-15.7
abbreviations	13	5	2	1	1	2	-21.7	-17.4	-21
abdominal	9	4	2	2	2	1	-18.7	-18	-16.9
abdul	5	2	0	0	0	0	-17.6	-16.8	-24.4
aberdeen	8	3	4	1	0	0	-19.9	-15.2	-20.3
abide	5	2	2	13	9	2	-18	-18.5	-17.3
abilities	9	4	2	2	26	2	-16.9	-15.1	-16.1
ability	7	4	2	1	26	2	-15.2	-13.2	-14.4
able	4	2	4	2	0	0	-11.7	-11.5	-11.4
abnormal	8	3	3	1	0	0	-17.6	-17.7	-17.2
abnormalities	13	5	4	5	56	4	-20.6	-20.6	-19.7
aboard	6	2	4	3	0	0	-14.8	-16.4	-14
aboriginal	10	5	5	13	5	3	-20.5	-14.5	-21.2
abortion	8	3	2	1	2	2	-16.3	-14.6	-15.8
about	5	2	8	16	0	0	-26.4	-22.2	-24.4
above	5	2	4	4	0	1	-26.4	-22.2	-24.4
abraham	7	3	1	2	0	0	-17	-14.8	-16.3
abroad	6	2	4	2	0	0	-15.6	-15.1	-16.4
absence	7	2	4	1	8	4	-16.2	-15.4	-16
absent	6	2	4	7	0	1	-17.2	-16.1	-17.3
absolute	8	3	6	7	0	1	-15.2	-14.9	-15.2
absolutely	10	4	2	3	0	0	-12	-16.9	-11.9
absorb	6	2	9	18	11	7	-17.8	-16.1	-17.7
absorbed	8	2	11	24	11	7	-18.1	-15.4	-18.1
absorption	10	3	6	7	12	6	-20.6	-17.4	-20.2
abstract	8	2	9	18	7	6	-18.2	-14.9	-17.6
abstraction	11	3	6	5	13	6	-22.1	-16.4	-20.5
abstracts	9	2	6	16	7	6	-22.6	-20.6	-21.6
absurd	6	2	3	9	0	1	-15.4	-17.7	-15.4
abundance	9	3	3	2	6	2	-19	-17.3	-18.9
abundant	8	3	1	0	0	0	-19.4	-16.2	-19.5
abuse	5	2	7	17	15	6	-15.7	-15	-15.3
abused	6	2	6	14	6	3	-17.1	-16.6	-16.5
abuses	6	3	7	18	15	6	-19	-18	-19.7
abusive	7	3	2	2	0	0	-18	-18.5	-18
acad	4	3	0	0	0	0	-24.8	-22.2	-24.4
academic	8	4	4	4	1	1	-17	-14.6	-16.5
academics	9	4	1	3	1	1	-19.8	-17.3	-19.2
academies	9	4	4	2	12	4	-22.3	-17.8	-21.6
academy	7	4	4	1	12	4	-15.1	-12.6	-15.1
acc	3	3	1	2	0	1	-21.7	-21.2	-21.4
accelerate	10	4	2	3	1	2	-18.6	-17.9	-18.3
accelerated	11	5	3	4	1	2	-18.9	-17.5	-18.8
acceleration	12	5	3	2	4	3	-19	-16.2	-18.9
accelerator	11	5	4	9	9	4	-17.9	-18.1	-18.3
accent	6	2	7	10	19	7	-14.2	-16	-15.1
accents	7	2	7	11	19	7	-18.6	-16.5	-18.5
accept	6	2	11	11	23	8	-12.9	-14.2	-13
acceptable	10	4	4	1	0	0	-16.7	-16.1	-16.3
acceptance	10	3	7	7	11	7	-17.4	-16.1	-17
accepted	8	3	12	14	23	8	-14.7	-13.2	-14.7
accepting	9	3	12	12	23	8	-16.6	-17	-16.7
accepts	7	2	11	12	23	8	-17.8	-16.2	-17.6
access	6	2	8	8	7	7	-14.7	-13.2	-13.7
accessed	8	2	2	2	2	2	-19.6	-17.3	-18.1
accessibility	13	6	2	4	2	2	-23.4	-18.1	-23.4
accessible	10	4	4	1	0	0	-19.1	-16.4	-18.6
accessing	9	3	2	2	2	2	-19.9	-17.9	-18.6
accession	9	3	7	7	1	7	-22.9	-17	-21.8
accessories	11	4	3	7	11	3	-17.9	-16.6	-18.1
accessory	9	4	5	11	11	3	-18	-18.2	-17.2
accident	8	3	2	3	9	2	-12.8	-13.9	-12.4
accidental	10	4	2	1	0	1	-17.6	-16.9	-17.1
accidentally	12	5	3	5	0	0	-15.4	-15.5	-15.6
accidents	9	3	2	4	9	2	-16.2	-15.6	-16
acclaimed	9	2	2	6	1	2	-20.2	-16.9	-20
accolades	9	3	1	5	15	1	-20.9	-19.9	-21.2
accommodate	11	4	7	9	18	6	-18	-17.2	-17.6
accommodation	13	5	6	2	13	6	-18.5	-16.9	-18.8
accommodations	14	5	6	3	13	6	-18.6	-19.6	-18
accompanied	11	4	6	10	8	3	-17.5	-14.9	-17.7
accompany	9	4	4	8	8	3	-16	-16.9	-16.4
accompanying	12	5	5	16	8	3	-18.9	-16.6	-18.8
accomplish	10	3	2	9	14	3	-16.8	-18.6	-16.1
accomplished	12	3	5	16	14	3	-16.1	-16.8	-15.8
accomplishment	14	4	2	5	32	2	-18.2	-18.5	-17.8
accomplishments	15	4	2	6	32	2	-18.8	-17.6	-18
accord	6	2	6	13	14	6	-18.7	-18.2	-18
accordance	10	3	2	3	0	2	-18.4	-16.5	-18
according	9	3	4	9	3	2	-13.4	-11.5	-13.3
accordingly	11	4	2	1	0	0	-18.1	-17.5	-17.8
account	7	2	14	16	52	12	-13.4	-13.7	-13.2
accountability	14	6	1	2	0	1	-20.6	-19	-19.8
accountable	11	4	1	0	0	0	-18.7	-19.2	-18.2
accountancy	11	4	1	1	3	1	-20.4	-18.1	-22.8
accountant	10	3	1	2	6	1	-15.8	-18.9	-16.1
accountants	11	3	1	3	6	1	-18.8	-18.9	-18.6
accounted	9	3	4	5	6	3	-18.1	-17.9	-17.1
accounting	10	3	9	9	25	8	-16.6	-16.4	-16.5
accounts	8	2	14	17	52	12	-15.5	-14.8	-15.3
accreditation	13	5	1	0	0	1	-22.3	-18.9	-21.2
accredited	10	4	4	7	0	3	-20.9	-18.1	-20.4
accumulate	10	4	2	9	12	2	-19.7	-18.3	-19.5
accumulated	11	5	3	11	12	2	-19.4	-17.6	-19.1
accumulation	12	5	4	6	99	4	-20.8	-18	-20.7
accuracy	8	4	2	1	2	1	-18.6	-16.3	-18.1
accurate	8	3	2	2	0	0	-16.2	-14.8	-15.7
accurately	10	4	2	0	0	0	-18.7	-16.4	-18.5
accused	7	2	3	5	8	2	-15.3	-14.7	-15
accustomed	10	3	3	5	3	1	-17.5	-19.2	-17.1
ace	3	1	11	36	7	10	-15.1	-15.5	-14.8
acer	4	2	1	2	0	1	-26.4	-20.2	-24.4
achieve	7	2	1	3	8	1	-15.7	-14.7	-15.8
achieved	8	2	1	4	8	1	-16.6	-14.6	-16.6
achievement	11	3	1	1	19	1	-16.9	-15.7	-16.9
achievements	12	3	1	2	19	1	-18.6	-15.9	-18.6
achieving	9	3	1	4	8	1	-18.8	-17	-19.2
acid	4	2	5	24	79	2	-15.6	-12.3	-15.4
acids	5	2	2	12	79	2	-19.2	-14.3	-19
acknowledge	11	3	6	6	10	5	-16.9	-17.6	-16.1
acknowledged	12	3	8	7	10	5	-18.4	-17.2	-17.7
acknowledgement	15	4	2	2	12	2	-20.8	-20.2	-20
acknowledgements	16	4	2	3	12	2	-23.2	-20.2	-22.4
acknowledges	12	4	6	7	10	5	-20.7	-20.6	-20.7
aclu	4	3	0	0	0	0	-20.7	-19.4	-20
acm	3	3	0	0	0	0	-24.8	-21.2	-24.4
acne	4	2	1	0	3	2	-18.3	-17.4	-18.8
acoustic	8	3	2	1	0	1	-18.8	-15.3	-18.8
acoustics	9	3	2	1	2	2	-19.9	-18.7	-19.9
acquire	7	3	7	13	51	3	-17.5	-17.9	-17.3
acquired	8	3	8	14	51	3	-17.1	-15.3	-16.5
acquiring	9	3	8	15	59	4	-19.4	-18.2	-18.9
acquisition	11	4	4	5	38	4	-18.9	-17.7	-18.2
acquisitions	12	4	4	6	38	4	-19.9	-19.6	-19.3
acre	4	2	3	4	0	1	-18.3	-16.4	-17.8
acres	5	2	4	9	14	2	-16.9	-15.3	-16.5
acrobat	7	3	1	0	5	1	-19	-18.3	-19.5
acronyms	8	3	1	1	0	1	-21.3	-18.6	-21.6
across	6	2	2	2	0	0	-12.8	-11.8	-12.1
acrylic	7	3	4	4	4	4	-20.2	-19.6	-19.8
act	3	1	15	19	166	11	-12.1	-11.9	-11.9
acted	5	2	10	12	122	6	-15.6	-13.8	-15.3
acting	6	2	12	15	132	8	-13	-13.2	-13
action	6	2	12	17	135	12	-13	-12.7	-12.8
actions	7	2	12	18	135	12	-15.6	-13.8	-15.1
activate	8	3	5	9	1	2	-16.5	-17.7	-16.5
activated	9	4	9	11	1	2	-16.8	-17.2	-16.6
activation	10	4	3	2	3	3	-19.8	-17.5	-18.9
active	6	2	17	7	0	3	-15.7	-12.4	-15.2
actively	8	3	1	0	0	0	-19.1	-16.1	-19
activism	8	4	1	0	0	1	-21.6	-17.9	-21.2
activist	8	3	2	2	2	1	-18.6	-15.2	-18.7
activists	9	3	1	2	2	1	-19.7	-16.2	-20.2
activities	10	4	6	8	181	6	-15.9	-13.4	-15.6
activity	8	4	6	7	181	6	-15.5	-13.2	-15
actor	5	2	2	6	25	2	-13.9	-12	-14
actors	6	2	2	7	25	2	-15	-13.8	-15
actress	7	2	1	0	3	1	-14.7	-12.4	-14.7
acts	4	1	16	22	166	11	-15.4	-13.1	-15.1
actual	6	3	5	5	0	0	-14.8	-13.7	-14.6
actually	8	4	4	2	0	0	-10.3	-12.4	-10.4
acupuncture	11	4	1	1	0	1	-18.8	-18.7	-19.2
acute	5	2	7	13	0	1	-17.7	-16.2	-17.1
ad	2	1	2	8	9	1	-14.6	-12.7	-14.9
adam	4	2	3	9	0	1	-13.7	-14.1	-13.5
adams	5	2	7	18	0	1	-16.1	-13.7	-15.5
adapt	5	2	2	3	20	2	-17.4	-16.8	-17.3
adaptation	10	4	3	3	8	3	-19	-15.1	-18
adapted	7	3	3	5	20	2	-18.5	-14.5	-18.6
adapter	7	3	2	3	1	2	-21.1	-17.8	-20.9
adapters	8	3	2	4	1	2	-24.4	-19.9	-24.4
adaptive	8	3	1	1	0	0	-22.2	-15.9	-20.9
adaptor	7	3	1	1	0	1	-22.6	-22.2	-22.4
adaptors	8	3	1	2	0	1	-25.4	-22.2	-24.4
add	3	1	7	25	30	7	-13.7	-12.9	-13.6
added	5	2	6	18	30	6	-15.5	-11.9	-15.4
addicted	8	3	2	2	0	1	-16.7	-16.9	-16.5
addiction	9	3	3	4	1	3	-17.1	-15.8	-16.7
adding	6	2	6	18	30	6	-16.8	-13.7	-16.7
addison	7	3	0	0	0	0	-15.7	-18.2	-17.9
addition	8	3	6	7	8	6	-16	-12.8	-15.7
additional	10	4	1	1	0	0	-16.7	-13.8	-16.1
additionally	12	5	1	1	0	0	-21.1	-15.8	-20.4
additions	9	3	6	8	8	6	-20.7	-17	-20.9
additive	8	3	3	1	2	1	-21.4	-17.4	-20.9
address	7	2	18	17	30	17	-13.3	-13.7	-13
addressed	9	2	11	12	13	9	-17.2	-16.3	-16.8
addresses	9	3	18	18	30	17	-17.5	-15.5	-17
addressing	10	3	10	12	13	9	-18.1	-18	-17.6
adds	4	1	7	26	30	7	-17.2	-15.2	-16.7
adelaide	8	3	1	1	0	0	-18.1	-15.4	-24.4
adequacy	8	4	2	2	1	2	-23.8	-22.2	-24.4
adequate	8	3	3	6	0	0	-17.8	-17.9	-17.3
adequately	10	4	1	0	0	0	-20.1	-19.9	-19.6
adhere	6	2	6	10	4	6	-19.7	-19	-19.5
adherence	9	3	2	4	4	2	-22.3	-20.2	-21.2
adhesive	8	3	2	2	6	1	-19.1	-18.4	-18.8
adidas	6	3	0	0	0	0	-20.7	-18.9	-24.4
adipex	6	3	0	0	0	0	-26.4	-22.2	-24.4
adjacent	8	3	3	5	0	0	-18.5	-16.3	-18.3
adjoining	9	3	3	11	9	2	-19.5	-18.2	-18.5
adjust	6	2	5	7	40	5	-16.3	-16.6	-16.2
adjustable	10	4	2	0	0	0	-20.1	-19.6	-20.4
adjusted	8	3	9	10	40	5	-18	-16.9	-17.8
adjusting	9	3	5	8	40	5	-18.1	-19.4	-17.4
adjustment	10	3	5	9	24	5	-17.6	-17.9	-17.1
adjustments	11	3	5	10	24	5	-18.1	-18.9	-18.2
adler	5	2	0	0	0	0	-17.7	-17.4	-24.4
admin	5	2	0	0	0	0	-19.9	-16.2	-19.9
administer	10	4	5	12	11	5	-18.5	-18	-18
administered	12	4	5	13	11	5	-19.1	-15.8	-18.1
administering	13	5	5	13	11	5	-20.5	-19	-19.8
administrative	14	5	1	0	0	0	-18	-13.4	-18
administrator	13	5	3	2	12	2	-17.8	-14.9	-18
administrators	14	5	3	3	12	2	-20.2	-15.4	-20.2
admiral	7	3	2	1	0	2	-16	-15.8	-14.6
admire	6	2	2	1	1	2	-15.1	-18.7	-14.9
admission	9	3	4	10	4	4	-17	-16.9	-16.9
admissions	10	3	4	11	4	4	-18.1	-19	-17.6
admits	6	2	8	12	17	4	-18.1	-17.4	-17.7
admitted	8	3	8	12	17	4	-16	-15.4	-15.5
adobe	5	3	2	1	0	2	-21.7	-16.3	-19.8
adolescent	10	4	5	8	6	1	-18	-18.3	-17.8
adolescents	11	4	1	4	6	1	-20.4	-17.7	-19.5
adopt	5	2	7	14	4	7	-16.2	-16.2	-16.5
adopted	7	3	8	16	4	7	-15.7	-13.4	-15.6
adopting	8	3	7	15	4	7	-18.4	-18.1	-18.5
adoption	8	3	3	4	4	3	-16.6	-16.5	-16.5
adrian	6	3	2	5	0	0	-14.4	-16.2	-24.4
ads	3	1	1	6	9	1	-16.6	-17.9	-16.4
adsl	4	4	0	0	0	0	-25.4	-21.2	-24.4
adult	5	2	4	6	28	2	-14.6	-13.1	-14.9
adults	6	2	2	2	28	2	-15.3	-13.7	-15.4
adv	3	3	0	0	0	0	-23.2	-22.2	-24.4
advance	7	2	20	43	40	17	-14.7	-14.3	-14.7
advanced	8	2	20	35	29	11	-15.7	-13.8	-15.6
advancement	11	3	3	8	8	3	-19.3	-17.2	-18.4
advances	8	3	18	41	40	17	-17.5	-16.5	-17.2
advancing	9	3	13	31	29	11	-19	-17.1	-18.1
advantage	9	3	4	2	15	4	-14.3	-14.4	-14.2
advantages	10	4	4	3	15	4	-17.4	-16.2	-17.2
advent	6	2	3	6	0	2	-20.6	-16.5	-19.8
adventure	9	3	3	13	2	3	-14.8	-14.8	-14.9
adventures	10	3	3	14	2	3	-16.4	-14.2	-16.8
adverse	7	2	2	3	0	0	-19.3	-17.5	-19.2
adversely	9	3	1	0	0	0	-21.6	-21.2	-20.9
advert	6	2	4	16	20	4	-18.7	-19.2	-20.7
advertise	9	3	2	5	6	2	-12	-16.8	-18
advertised	10	3	3	6	6	2	-19	-17.1	-18.7
advertisement	13	4	1	5	9	1	-17.8	-16.4	-18.4
advertisements	14	4	1	6	9	1	-19.7	-15.9	-19.7
advertiser	10	4	1	2	3	1	-20.8	-19	-21.4
advertisers	11	4	1	3	3	1	-19.4	-18.4	-19.8
advertising	11	4	4	12	18	4	-15.7	-15	-15.8
adverts	7	3	4	17	20	4	-20.4	-17.9	-22.4
advice	6	2	1	0	3	1	-13.2	-14.6	-13.1
advise	6	2	3	9	14	3	-15.8	-17.9	-15.1
advised	7	2	5	11	14	3	-16.9	-16.7	-16.3
adviser	7	3	1	2	13	1	-18.4	-17.2	-18.6
advisers	8	3	1	3	13	1	-20.5	-18.7	-20.7
advising	8	3	3	10	14	3	-19	-19.4	-18.3
advisor	7	3	1	2	13	1	-17.1	-15.9	-16.6
advisories	10	4	1	1	0	1	-24.1	-17.4	-23.4
advisors	8	3	1	3	13	1	-19.3	-17.7	-18.3
advisory	8	4	2	3	0	1	-19.9	-16.2	-18.7
advocacy	8	4	1	1	3	1	-21.6	-17.7	-20.5
advocate	8	3	4	11	39	4	-17.9	-16.8	-17.5
advocates	9	3	4	12	39	4	-21.2	-17.6	-20.3
aerial	6	3	4	7	5	2	-18	-17.1	-17.4
aero	4	2	0	0	0	0	-21.5	-19.4	-22
aerospace	9	3	1	0	0	1	-20.1	-17.3	-18.6
aesthetic	9	3	4	4	0	1	-19.1	-17.6	-19.3
affair	6	2	3	11	7	3	-14	-15	-13.8
affairs	7	2	5	14	10	4	-15.3	-13.9	-14.8
affect	6	2	6	14	48	4	-15.6	-14.4	-15.2
affected	8	3	8	19	48	3	-16.2	-13.6	-15.9
affecting	9	3	6	17	48	3	-17.7	-16.1	-17.3
affection	9	3	1	7	4	1	-15.7	-17.5	-15.6
affects	7	2	6	15	48	4	-17.1	-15	-16.4
affiliate	9	4	4	3	3	4	-20.6	-16.9	-20.5
affiliated	10	5	3	6	3	2	-20.1	-17.3	-19
affiliates	10	4	4	4	3	4	-21.1	-18.5	-20.3
affiliation	11	5	2	3	1	2	-20.7	-18.1	-19.7
affinity	8	4	7	3	3	6	-19.8	-18.2	-19.5
affirmative	11	4	4	6	3	1	-16.9	-21.2	-16.5
affirmed	8	2	4	13	16	1	-22.5	-18.7	-21.6
afford	6	2	4	3	2	2	-13.6	-15.8	-13.2
affordable	10	4	1	2	0	0	-19	-18	-19.3
afforded	8	3	4	4	2	2	-20	-19	-19.6
afghan	6	2	6	8	2	5	-19.5	-17.3	-19.5
afghanistan	11	4	1	2	0	0	-17.2	-13.7	-17.8
aforementioned	14	4	1	2	0	0	-19.6	-18.9	-19.8
afraid	6	2	4	0	0	0	-11.1	-14.9	-10.7
africa	6	3	1	1	0	0	-14.5	-11.6	-14.5
african	7	3	2	1	52	1	-15.9	-12.8	-15.9
after	5	2	3	5	0	0	-26.4	-22.2	-24.4
aftermath	9	3	2	3	6	2	-20.1	-17.6	-18.6
afternoon	9	3	2	1	0	3	-12.5	-14.9	-12.2
afterwards	10	3	1	5	0	0	-14.8	-14.2	-14.9
again	5	2	1	3	0	0	-26.4	-22.2	-24.4
against	7	2	0	0	0	0	-26.4	-22.2	-24.4
age	3	1	8	10	27	6	-12.3	-11	-12.4
aged	4	1	9	11	3	3	-16.8	-14.7	-16.9
agencies	8	3	5	10	90	5	-18	-15.3	-17
agency	6	3	5	9	90	5	-14.5	-13.8	-14.4
agenda	6	3	2	4	2	2	-16.5	-17.5	-15.8
agent	5	2	6	4	73	6	-12.8	-13.4	-12
agents	6	2	6	5	73	6	-15.1	-14.6	-14.3
ages	4	2	8	11	27	6	-14.7	-13	-15.2
aggregate	9	3	7	9	1	5	-21.1	-17.9	-21
aggregation	11	4	2	5	103	2	-23.2	-20.2	-23.4
aggregator	10	3	1	1	5	1	-24.8	-22.2	-24.4
aggression	10	3	5	2	8	5	-17.6	-17.4	-17.2
aggressive	10	3	3	3	0	0	-15.9	-15.7	-15.7
aging	5	2	6	9	5	3	-17.5	-16.9	-17.3
agnes	5	2	0	0	0	0	-16.1	-16.7	-24.4
ago	3	2	2	1	0	0	-10.9	-12	-10.5
agree	5	2	7	15	31	4	-12.6	-13.5	-12.7
agreed	6	2	8	17	31	4	-13.5	-13.1	-13.5
agreeing	8	3	7	16	31	4	-17.3	-17.4	-17.6
agreement	9	3	6	5	40	6	-14.7	-13.4	-14.6
agreements	10	3	6	6	40	6	-19.1	-16.1	-19
agrees	6	2	7	16	31	4	-16.6	-15.3	-16.6
agricultural	12	5	2	2	0	0	-18.6	-14.9	-18.8
agriculture	11	4	4	8	11	4	-18.4	-14.1	-18.6
aguilera	8	4	0	0	0	0	-20.7	-17.3	-24.4
ah	2	1	0	0	0	0	-10.3	-17	-11
ahead	5	2	8	12	0	0	-11.5	-14.4	-11.1
ahmad	5	2	0	0	0	0	-18.5	-16.5	-24.4
ahmed	5	2	0	0	0	0	-18.2	-16.9	-24.4
ai	2	1	4	6	2	4	-11	-15.8	-16.8
aid	3	1	6	8	52	6	-15.3	-14.5	-14.9
aide	4	1	2	3	2	2	-18.1	-18.9	-17.7
aided	5	2	3	4	12	2	-20	-17.8	-19.3
aim	3	1	11	23	22	9	-15	-15.1	-14.8
aimed	5	1	7	17	11	6	-17.7	-15.7	-17.7
aiming	6	2	7	17	11	6	-17.3	-17.9	-16.8
aims	4	1	11	24	22	9	-18.7	-16.1	-18.5
air	3	1	15	25	35	13	-11.9	-11.1	-11.6
airborne	8	2	1	0	0	0	-17.9	-17.9	-16.6
aircraft	8	2	1	0	5	1	-16.6	-13.1	-15.5
aired	5	1	7	13	11	5	-19.1	-14	-18.9
airfare	7	2	1	0	0	1	-20.6	-22.2	-20.8
airfares	8	2	1	1	0	1	-24.1	-22.2	-23.4
airline	7	2	2	3	0	2	-16.8	-14.8	-16
airlines	8	2	2	4	0	2	-17.5	-14.4	-16.8
airmail	7	2	3	1	0	3	-20.6	-21.2	-20.3
airplane	8	2	1	2	15	1	-15.7	-14.7	-15.2
airport	7	2	1	3	1	1	-13.8	-12.4	-13.4
airports	8	2	1	4	1	1	-18.5	-15.5	-18.2
airways	7	2	4	9	8	4	-18.7	-15.8	-18.9
ajax	4	2	1	1	0	0	-17.6	-16.9	-18.6
aka	3	2	0	0	0	0	-16.9	-15.9	-18.7
akon	4	3	0	0	0	0	-24.4	-18.3	-24.4
akron	5	2	1	1	0	0	-19.6	-18.5	-19.1
alabama	7	4	4	5	0	3	-17.6	-13.3	-16.5
alain	5	2	0	0	0	0	-17.9	-17	-24.4
alameda	7	4	0	0	0	0	-21.1	-19.9	-19
alamo	5	3	1	1	0	0	-18.8	-17.9	-18.2
alan	4	2	0	0	0	0	-13.4	-14.8	-13.7
alarm	5	2	6	11	16	6	-13.6	-16.4	-13.8
alarms	6	2	6	12	16	6	-17.2	-18.2	-17.1
alaska	6	3	1	3	0	0	-16.4	-13.4	-16.6
alba	4	2	0	0	0	0	-19.4	-16.3	-19.3
albania	7	4	1	2	0	0	-18.8	-16.1	-19.3
albanian	8	4	3	1	2	2	-18.4	-17.1	-18.7
albany	6	3	2	2	0	0	-19	-14.6	-17.6
albeit	6	3	0	0	0	0	-19.1	-17.8	-19.1
albert	6	2	1	3	0	0	-14.3	-13.5	-14.5
alberta	7	3	1	1	0	0	-19.5	-15.2	-20.1
alberto	7	3	0	0	0	0	-16.9	-16	-24.4
albion	6	3	1	1	0	0	-19.7	-17.1	-24.4
album	5	2	2	1	6	2	-15.3	-10.2	-15.3
albums	6	2	2	2	6	2	-17.6	-12.4	-17.5
albuquerque	11	4	1	1	0	0	-18.7	-17.6	-17.4
alcatel	7	3	0	0	0	0	-26.4	-22.2	-24.4
alcohol	7	3	2	4	31	3	-14.5	-13.8	-14.6
alcoholic	9	4	3	7	0	1	-15.9	-15.7	-16.1
alert	5	2	7	15	13	4	-14.7	-16.3	-14.3
alerts	6	2	4	6	13	4	-20.3	-18.7	-20.6
alex	4	2	0	0	0	0	-13.2	-14.7	-24.4
alexa	5	3	0	0	0	0	-18.8	-19.6	-24.4
alexander	9	4	2	6	0	1	-15.8	-13.2	-15.4
alexandra	9	4	0	0	0	0	-18	-15.8	-24.4
alexandre	9	4	0	0	0	0	-18.7	-16.5	-24.4
alexandria	10	5	2	2	0	0	-18.9	-15.3	-19.1
alexis	6	3	0	0	0	0	-16.3	-18	-24.4
alfa	4	2	0	0	0	0	-20.1	-17.2	-20.4
alfred	6	2	1	2	0	0	-15.5	-14.3	-15.8
algebra	7	3	1	0	4	1	-17.7	-15.6	-17.9
algeria	7	4	1	3	0	0	-19.4	-16	-19.8
algorithm	9	4	1	2	2	1	-19.3	-14.6	-19.6
algorithms	10	4	1	3	2	1	-20.9	-15.7	-20.8
ali	3	2	2	4	0	0	-15.2	-14.4	-24.4
alias	5	3	2	4	0	1	-17.5	-17.2	-16.7
alibaba	7	3	0	0	0	0	-20.9	-22.2	-24.4
alice	5	2	0	0	0	0	-14	-14.6	-14
alicia	6	3	0	0	0	0	-17.3	-16.3	-24.4
alien	5	3	7	12	8	5	-14.1	-15.2	-14.6
aliens	6	3	5	11	8	5	-15.1	-15.7	-15.4
alienware	9	3	0	0	0	0	-26.4	-22.2	-24.4
align	5	2	4	6	9	4	-19.4	-17.4	-19.3
aligned	7	2	6	7	9	4	-19.4	-17	-19
alignment	9	3	4	4	16	4	-19.1	-16.9	-18.3
alike	5	2	3	3	0	0	-15.4	-16.5	-15.2
alison	6	3	0	0	0	0	-16.6	-17.1	-15.8
alito	5	3	0	0	0	0	-24.1	-19.6	-24.4
alive	5	2	7	5	0	0	-11.9	-13.8	-11.4
alkaline	8	3	1	1	0	0	-21.5	-16.4	-20.4
all	3	1	3	6	0	0	-26.4	-22.2	-24.4
allah	5	2	1	1	0	0	-16.6	-16.4	-16.6
allan	5	2	0	0	0	0	-16.8	-15.9	-16.8
allegations	11	4	2	2	4	2	-18.2	-17.2	-17.6
alleged	7	2	3	5	1	1	-17.6	-16.2	-16.7
allegedly	9	4	1	0	0	0	-18.2	-16.7	-17.5
allen	5	2	3	7	0	0	-15.7	-14.7	-15.1
allergic	8	3	2	8	0	0	-15.4	-17	-15.7
allergies	9	3	1	2	4	1	-17.3	-17.8	-17.2
allergy	7	3	1	1	4	1	-17.4	-17.8	-17.9
alleviate	9	4	2	5	2	2	-19.9	-19.9	-19.8
alley	5	2	2	4	0	2	-15.2	-17	-14.7
alliance	8	3	5	5	12	5	-16.6	-13.9	-15.5
alliances	9	4	5	6	12	5	-20.6	-17.6	-20.4
allied	6	2	6	4	1	1	-18.1	-14.5	-17.2
allies	6	2	6	3	2	4	-17.1	-13.9	-16.3
allison	7	3	0	0	0	0	-15.4	-16.3	-24.4
allocate	8	3	1	1	3	1	-21.9	-20.2	-21.4
allocated	9	4	1	2	3	1	-20.8	-16.4	-21.6
allocation	10	4	3	7	7	3	-21.4	-18.9	-21
allocations	11	4	3	8	7	3	-25.4	-22.2	-22.8
allow	5	2	10	15	14	7	-13.2	-12.6	-13.2
allowable	9	4	3	1	0	0	-22.4	-19.2	-22
allowance	9	3	7	7	9	7	-16.5	-18.3	-16.3
allowances	10	4	7	8	9	7	-19.4	-18.7	-19.7
allowed	7	2	10	16	14	7	-13.2	-11.9	-13.2
allowing	8	3	10	16	14	7	-16.8	-14	-16.4
allows	6	2	10	16	14	7	-16.6	-12.9	-16.2
alloy	5	2	4	3	33	4	-19.2	-16.1	-18.7
ally	4	2	3	1	2	3	-14.9	-16.2	-13.7
alma	4	2	0	0	0	0	-17.1	-16.9	-16.2
almanac	7	3	2	1	0	1	-19.7	-20.6	-18.9
almond	6	2	2	4	2	3	-18.1	-18.3	-18.6
almost	6	2	1	7	0	0	-11.4	-11.3	-11.1
alone	5	2	6	13	0	0	-10.7	-13.1	-10.4
along	5	2	5	1	0	0	-11.5	-11.1	-11.2
alongside	9	3	1	1	0	0	-17.1	-14.8	-16.8
alot	4	2	0	0	0	0	-17.8	-19.9	-24.4
aloud	5	2	2	3	0	0	-17.8	-17.8	-17.8
alpha	5	2	4	0	0	2	-15	-14.9	-15.7
alphabet	8	3	2	6	8	3	-17.5	-13.5	-17.4
alphabetical	12	5	2	1	0	0	-19.1	-17.4	-18.9
alphabetically	14	5	1	0	0	0	-20.1	-17.5	-19.5
alpine	6	2	3	1	0	0	-19	-15.9	-18.3
alprazolam	10	3	1	1	0	1	-24.1	-20.6	-24.4
alps	4	1	2	3	0	1	-18.3	-15.3	-18.4
already	7	3	1	0	0	0	-10.4	-12.4	-10.4
alright	7	2	4	6	0	0	-11.6	-19	-12.4
also	4	2	1	4	0	0	-10.7	-7.5	-11
alta	4	2	0	0	0	0	-21.7	-18.7	-24.4
alteration	10	4	3	4	39	3	-20.6	-18.2	-19.2
alterations	11	4	3	5	39	3	-19.3	-20.2	-18.8
altered	7	2	8	11	415	3	-17.5	-16.8	-16.5
