word	length	syllables	senses	synonyms	hyponyms	hypernyms	subtitles	simple	subtlex
movable	7	3	3	6	0	1	-21.7	-17.2	-20.5
move	4	1	21	21	491	11	-10.4	-11.7	-10
moved	5	1	17	21	425	8	-12.8	-10.9	-12.6
movement	8	2	11	16	117	9	-15.2	-11.8	-14.8
movements	9	2	11	17	117	9	-16.8	-13.7	-16.5
movers	6	2	4	6	13	4	-18.2	-19.4	-18.5
moves	5	1	21	22	491	11	-14.2	-13.4	-13.9
movie	5	2	1	9	18	2	-11.8	-10.6	-11.8
movies	6	2	1	10	18	2	-13.2	-11.9	-13.2
moving	6	2	19	18	425	8	-12.2	-12.5	-11.8
mozart	6	2	2	2	0	1	-17.2	-14.1	-16.9
mozilla	7	3	0	0	0	0	-26.4	-16.1	-24.4
mpg	3	3	0	0	0	0	-25.4	-19.4	-24.4
mph	3	3	2	1	0	2	-19.4	-13.6	-18.7
mr	2	2	1	3	0	1	-9	-13.1	-8.5
mri	3	3	1	2	1	1	-18.1	-18.2	-24.4
mrna	4	3	1	4	0	1	-26.4	-17.4	-24.4
mrs	3	2	2	5	0	1	-10.8	-14.4	-10.4
ms	2	1	11	31	1	11	-13.1	-15.8	-13
msdn	4	3	0	0	0	0	-26.4	-22.2	-24.4
msg	3	3	1	2	0	1	-20.1	-19.2	-21
msgid	5	3	0	0	0	0	-26.4	-22.2	-24.4
msn	3	3	0	0	0	0	-21.9	-17.4	-24.4
mtv	3	3	0	0	0	0	-17.9	-14.7	-24.4
much	4	1	7	7	0	1	-8.9	-10.1	-8.8
mud	3	1	4	4	3	4	-15	-14.9	-14.8
mudvayne	8	3	0	0	0	0	-26.4	-22.2	-24.4
mueller	7	2	0	0	0	0	-18.5	-18.9	-24.4
mug	3	1	5	15	4	5	-15.9	-18.9	-15.9
mugs	4	1	5	16	4	5	-17.7	-20.2	-17.4
muhammad	8	3	2	6	0	0	-18.2	-13.9	-16.9
muller	6	2	9	14	0	3	-19	-18.6	-18.1
multi	5	2	0	0	0	0	-20	-18.6	-22.4
multicast	9	3	0	0	0	0	-26.4	-22.2	-24.4
multicultural	13	5	1	0	0	0	-20.9	-17.7	-22.8
multilateral	12	5	1	1	0	0	-26.4	-21.2	-24.4
multimedia	10	5	1	1	1	1	-17.7	-16.9	-19.6
multinational	13	5	1	1	0	0	-19.3	-17.5	-19.4
multiplayer	11	4	0	0	0	0	-22.4	-16.1	-24.4
multiple	8	3	2	0	4	1	-16.1	-12.9	-15.3
multiplied	10	3	5	5	13	4	-19.3	-16.7	-19.7
